Genes	biological_process	cellular_component	molecular_function	kegg_pathway
ACAA2	NA	NA	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)	ko00280(Valine, leucine and isoleucine degradation);ko00071(Fatty acid degradation);ko00062(Fatty acid elongation);ko01212(Fatty acid metabolism)
ACADL	GO:0042758(long-chain fatty acid catabolic process)	NA	GO:0050660(flavin adenine dinucleotide binding);GO:0004466(long-chain-acyl-CoA dehydrogenase activity)	ko00071(Fatty acid degradation);ko01212(Fatty acid metabolism);ko03320(PPAR signaling pathway)
ACADM	GO:0006635(fatty acid beta-oxidation)	GO:0005739(mitochondrion)	GO:0050660(flavin adenine dinucleotide binding);GO:0070991(medium-chain-acyl-CoA dehydrogenase activity)	ko00280(Valine, leucine and isoleucine degradation);ko00640(Propanoate metabolism);ko00071(Fatty acid degradation);ko00410(beta-Alanine metabolism);ko01200(Carbon metabolism);ko01212(Fatty acid metabolism);ko03320(PPAR signaling pathway)
ACADS	NA	NA	GO:0003995(acyl-CoA dehydrogenase activity);GO:0050660(flavin adenine dinucleotide binding)	ko00280(Valine, leucine and isoleucine degradation);ko00650(Butanoate metabolism);ko00071(Fatty acid degradation);ko01200(Carbon metabolism);ko01212(Fatty acid metabolism)
ACAT1	NA	NA	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)	ko02020(Two-component system);ko00310(Lysine degradation);ko00380(Tryptophan metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00650(Butanoate metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00640(Propanoate metabolism);ko00620(Pyruvate metabolism);ko00720(Carbon fixation pathways in prokaryotes);ko00071(Fatty acid degradation);ko00072(Synthesis and degradation of ketone bodies);ko00900(Terpenoid backbone biosynthesis);ko01200(Carbon metabolism);ko01212(Fatty acid metabolism);ko00362(Benzoate degradation)
ACAT2	NA	NA	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)	ko02020(Two-component system);ko00310(Lysine degradation);ko00380(Tryptophan metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00650(Butanoate metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00640(Propanoate metabolism);ko00620(Pyruvate metabolism);ko00720(Carbon fixation pathways in prokaryotes);ko00071(Fatty acid degradation);ko00072(Synthesis and degradation of ketone bodies);ko00900(Terpenoid backbone biosynthesis);ko01200(Carbon metabolism);ko01212(Fatty acid metabolism);ko00362(Benzoate degradation)
ACDH-6	NA	NA	GO:0003995(acyl-CoA dehydrogenase activity);GO:0050660(flavin adenine dinucleotide binding)	ko00281(Geraniol degradation)
ACIN1	NA	NA	GO:0003676(nucleic acid binding)	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
ACMSD	GO:1904985(negative regulation of quinolinate biosynthetic process)	GO:0005829(cytosol)	GO:0001760(aminocarboxymuconate-semialdehyde decarboxylase activity);GO:0016787(hydrolase activity)	ko00380(Tryptophan metabolism)
ACOT2	GO:0006637(acyl-CoA metabolic process)	NA	GO:0016790(thiolester hydrolase activity)	ko01040(Biosynthesis of unsaturated fatty acids);ko00062(Fatty acid elongation)
ACOT4	GO:0006637(acyl-CoA metabolic process)	NA	GO:0016790(thiolester hydrolase activity)	ko01040(Biosynthesis of unsaturated fatty acids);ko00062(Fatty acid elongation)
ACOX1	GO:0006635(fatty acid beta-oxidation)	GO:0005777(peroxisome)	GO:0003997(acyl-CoA oxidase activity);GO:0071949(FAD binding)	ko04146(Peroxisome);ko04024(cAMP signaling pathway);ko01040(Biosynthesis of unsaturated fatty acids);ko00071(Fatty acid degradation);ko00592(alpha-Linolenic acid metabolism);ko01212(Fatty acid metabolism);ko03320(PPAR signaling pathway)
ACP1	NA	GO:0005737(cytoplasm)	GO:0003993(acid phosphatase activity);GO:0004726(non-membrane spanning protein tyrosine phosphatase activity)	ko00740(Riboflavin metabolism);ko00730(Thiamine metabolism)
ACSBG2	NA	NA	GO:0003824(catalytic activity)	ko00061(Fatty acid biosynthesis);ko00071(Fatty acid degradation);ko01212(Fatty acid metabolism);ko04920(Adipocytokine signaling pathway);ko03320(PPAR signaling pathway)
ACSL5	NA	GO:0016021(integral component of membrane)	GO:0003824(catalytic activity)	ko04216(Ferroptosis);ko02024(Quorum sensing);ko04146(Peroxisome);ko00061(Fatty acid biosynthesis);ko00071(Fatty acid degradation);ko01212(Fatty acid metabolism);ko04920(Adipocytokine signaling pathway);ko03320(PPAR signaling pathway)
ACSS2	GO:0019427(acetyl-CoA biosynthetic process from acetate)	NA	GO:0003987(acetate-CoA ligase activity);GO:0016208(AMP binding);GO:0005524(ATP binding)	ko00010(Glycolysis / Gluconeogenesis);ko00640(Propanoate metabolism);ko00620(Pyruvate metabolism);ko00720(Carbon fixation pathways in prokaryotes);ko00680(Methane metabolism);ko01200(Carbon metabolism)
ACT-1	NA	GO:0005737(cytoplasm);GO:0005856(cytoskeleton)	GO:0005524(ATP binding)	ko04210(Apoptosis);ko04810(Regulation of actin cytoskeleton);ko04520(Adherens junction);ko04510(Focal adhesion);ko04530(Tight junction);ko04145(Phagosome);ko04390(Hippo signaling pathway);ko04391(Hippo signaling pathway -fly);ko04015(Rap1 signaling pathway);ko04921(Oxytocin signaling pathway);ko04919(Thyroid hormone signaling pathway);ko04670(Leukocyte transendothelial migration);ko04611(Platelet activation);ko04745(Phototransduction - fly)
ACT5C	NA	GO:0005737(cytoplasm);GO:0005856(cytoskeleton)	GO:0005524(ATP binding)	ko04210(Apoptosis);ko04810(Regulation of actin cytoskeleton);ko04520(Adherens junction);ko04510(Focal adhesion);ko04530(Tight junction);ko04145(Phagosome);ko04390(Hippo signaling pathway);ko04391(Hippo signaling pathway -fly);ko04015(Rap1 signaling pathway);ko04921(Oxytocin signaling pathway);ko04919(Thyroid hormone signaling pathway);ko04670(Leukocyte transendothelial migration);ko04611(Platelet activation);ko04745(Phototransduction - fly)
ACTA1B	GO:0060047(heart contraction)	GO:0005737(cytoplasm);GO:0005856(cytoskeleton)	GO:0005524(ATP binding)	ko04371(Apelin signaling pathway);ko04270(Vascular smooth muscle contraction)
ACTBA	NA	GO:0005856(cytoskeleton);GO:0097433(dense body);GO:0005925(focal adhesion);GO:0005886(plasma membrane);GO:0015629(actin cytoskeleton);GO:0005634(nucleus);GO:0005737(cytoplasm)	GO:0005524(ATP binding)	ko04210(Apoptosis);ko04810(Regulation of actin cytoskeleton);ko04520(Adherens junction);ko04510(Focal adhesion);ko04530(Tight junction);ko04145(Phagosome);ko04390(Hippo signaling pathway);ko04391(Hippo signaling pathway -fly);ko04015(Rap1 signaling pathway);ko04921(Oxytocin signaling pathway);ko04919(Thyroid hormone signaling pathway);ko04670(Leukocyte transendothelial migration);ko04611(Platelet activation);ko04745(Phototransduction - fly)
ACTBB	NA	GO:0005856(cytoskeleton);GO:0097433(dense body);GO:0005925(focal adhesion);GO:0005634(nucleus);GO:0005886(plasma membrane);GO:0005737(cytoplasm)	GO:0005524(ATP binding)	ko04210(Apoptosis);ko04810(Regulation of actin cytoskeleton);ko04520(Adherens junction);ko04510(Focal adhesion);ko04530(Tight junction);ko04145(Phagosome);ko04390(Hippo signaling pathway);ko04391(Hippo signaling pathway -fly);ko04015(Rap1 signaling pathway);ko04921(Oxytocin signaling pathway);ko04919(Thyroid hormone signaling pathway);ko04670(Leukocyte transendothelial migration);ko04611(Platelet activation);ko04745(Phototransduction - fly)
ADH1	NA	NA	GO:0016491(oxidoreductase activity);GO:0008270(zinc ion binding)	ko00350(Tyrosine metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00680(Methane metabolism);ko00071(Fatty acid degradation);ko00830(Retinol metabolism);ko01200(Carbon metabolism);ko01220(Degradation of aromatic compounds);ko00625(Chloroalkane and chloroalkene degradation);ko00982(Drug metabolism - cytochrome P450);ko00980(Metabolism of xenobiotics by cytochrome P450);ko00626(Naphthalene degradation)
ADK	GO:0006166(purine ribonucleoside salvage)	NA	GO:0004001(adenosine kinase activity)	ko00230(Purine metabolism)
ADSL	GO:0044208(de novo AMP biosynthetic process);GO:0006189(de novo IMP biosynthetic process)	NA	GO:0070626((S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity);GO:0004018(N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity)	ko00250(Alanine, aspartate and glutamate metabolism);ko00230(Purine metabolism)
ADSS	GO:0044208(de novo AMP biosynthetic process)	GO:0005737(cytoplasm)	GO:0004019(adenylosuccinate synthase activity);GO:0005525(GTP binding);GO:0000287(magnesium ion binding)	ko00250(Alanine, aspartate and glutamate metabolism);ko00230(Purine metabolism)
AGA	NA	NA	GO:0016787(hydrolase activity)	ko04142(Lysosome);ko00511(Other glycan degradation)
AGT	GO:0003081(regulation of systemic arterial blood pressure by renin-angiotensin)	GO:0005615(extracellular space)	NA	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
AGXT	GO:0071391(cellular response to estrogen stimulus)	NA	GO:0008453(alanine-glyoxylate transaminase activity);GO:0004760(serine-pyruvate transaminase activity)	ko04146(Peroxisome);ko00250(Alanine, aspartate and glutamate metabolism);ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00680(Methane metabolism);ko01200(Carbon metabolism)
AGXT2	NA	NA	GO:0030170(pyridoxal phosphate binding);GO:0008483(transaminase activity)	ko00250(Alanine, aspartate and glutamate metabolism);ko00270(Cysteine and methionine metabolism);ko00260(Glycine, serine and threonine metabolism);ko00280(Valine, leucine and isoleucine degradation)
AHCY-A	GO:0006730(one-carbon metabolic process);GO:0033353(S-adenosylmethionine cycle)	NA	GO:0004013(adenosylhomocysteinase activity)	ko00270(Cysteine and methionine metabolism)
AHCY-B	GO:0006730(one-carbon metabolic process);GO:0033353(S-adenosylmethionine cycle)	NA	GO:0004013(adenosylhomocysteinase activity)	ko00270(Cysteine and methionine metabolism)
AIFM1	NA	GO:0016021(integral component of membrane)	GO:0050660(flavin adenine dinucleotide binding);GO:0016491(oxidoreductase activity);GO:0046983(protein dimerization activity)	ko04210(Apoptosis);ko04214(Apoptosis - fly);ko04217(Necroptosis)
AK2	GO:0006172(ADP biosynthetic process);GO:0046033(AMP metabolic process);GO:0046034(ATP metabolic process);GO:0060218(hematopoietic stem cell differentiation);GO:0002521(leukocyte differentiation)	GO:0005758(mitochondrial intermembrane space)	GO:0004017(adenylate kinase activity);GO:0005524(ATP binding)	ko00730(Thiamine metabolism);ko00230(Purine metabolism)
AK6	NA	GO:0015030(Cajal body)	GO:0004017(adenylate kinase activity);GO:0005524(ATP binding);GO:0016887(ATPase activity)	ko03008(Ribosome biogenesis in eukaryotes);ko00230(Purine metabolism)
AKR1A1A	NA	NA	GO:0016491(oxidoreductase activity)	ko00010(Glycolysis / Gluconeogenesis);ko00040(Pentose and glucuronate interconversions);ko00561(Glycerolipid metabolism);ko01220(Degradation of aromatic compounds);ko00930(Caprolactam degradation)
AKR1B1	NA	NA	GO:0016491(oxidoreductase activity)	ko00051(Fructose and mannose metabolism);ko00052(Galactose metabolism);ko00040(Pentose and glucuronate interconversions);ko00561(Glycerolipid metabolism)
AKR1D1	NA	NA	GO:0016491(oxidoreductase activity)	ko00120(Primary bile acid biosynthesis);ko00140(Steroid hormone biosynthesis)
AKR7A2	NA	NA	GO:0016491(oxidoreductase activity)	ko00980(Metabolism of xenobiotics by cytochrome P450)
AKT1S1	GO:0032007(negative regulation of TOR signaling);GO:0048011(neurotrophin TRK receptor signaling pathway)	NA	NA	ko04140(Autophagy - animal);ko04152(AMPK signaling pathway);ko04150(mTOR signaling pathway);ko04211(Longevity regulating pathway - mammal);ko04213(Longevity regulating pathway - multiple species)
ALAS1	GO:0006782(protoporphyrinogen IX biosynthetic process)	GO:0005759(mitochondrial matrix)	GO:0003870(5-aminolevulinate synthase activity);GO:0030170(pyridoxal phosphate binding)	ko00260(Glycine, serine and threonine metabolism);ko00860(Porphyrin and chlorophyll metabolism)
ALAS2	GO:0006782(protoporphyrinogen IX biosynthetic process)	GO:0005759(mitochondrial matrix)	GO:0003870(5-aminolevulinate synthase activity);GO:0030170(pyridoxal phosphate binding)	ko00260(Glycine, serine and threonine metabolism);ko00860(Porphyrin and chlorophyll metabolism)
ALDH18A1	GO:0055129(L-proline biosynthetic process)	GO:0005739(mitochondrion)	GO:0005524(ATP binding);GO:0004349(glutamate 5-kinase activity);GO:0004350(glutamate-5-semialdehyde dehydrogenase activity)	ko00330(Arginine and proline metabolism);ko01230(Biosynthesis of amino acids)
ALDH1A2	GO:0048318(axial mesoderm development);GO:0048593(camera-type eye morphogenesis);GO:0022010(central nervous system myelination);GO:0007368(determination of left/right symmetry);GO:0048546(digestive tract morphogenesis);GO:0048703(embryonic viscerocranium morphogenesis);GO:0060325(face morphogenesis);GO:0031101(fin regeneration);GO:0072015(glomerular visceral epithelial cell development);GO:0021575(hindbrain morphogenesis);GO:0001889(liver development);GO:0022011(myelination in peripheral nervous system);GO:0061131(pancreas field specification);GO:0048339(paraxial mesoderm development);GO:0033339(pectoral fin development);GO:0039023(pronephric duct morphogenesis);GO:0048385(regulation of retinoic acid receptor signaling pathway);GO:0048384(retinoic acid receptor signaling pathway);GO:0042572(retinol metabolic process);GO:0001756(somitogenesis)	NA	GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)	ko00830(Retinol metabolism)
ALDH1L1	GO:0009258(10-formyltetrahydrofolate catabolic process);GO:0009058(biosynthetic process);GO:0048703(embryonic viscerocranium morphogenesis);GO:0007369(gastrulation);GO:0007507(heart development);GO:0001755(neural crest cell migration);GO:0048885(neuromast deposition);GO:0006730(one-carbon metabolic process)	GO:0005737(cytoplasm)	GO:0016155(formyltetrahydrofolate dehydrogenase activity);GO:0016787(hydrolase activity);GO:0016742(hydroxymethyl-, formyl- and related transferase activity);GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)	ko00670(One carbon pool by folate)
ALDH2	NA	NA	GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)	ko00330(Arginine and proline metabolism);ko00340(Histidine metabolism);ko00310(Lysine degradation);ko00380(Tryptophan metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00053(Ascorbate and aldarate metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00620(Pyruvate metabolism);ko00071(Fatty acid degradation);ko00561(Glycerolipid metabolism);ko00410(beta-Alanine metabolism);ko00981(Insect hormone biosynthesis);ko00903(Limonene and pinene degradation);ko00625(Chloroalkane and chloroalkene degradation)
ALDH3A2	GO:0006081(cellular aldehyde metabolic process)	GO:0016021(integral component of membrane)	GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)	ko00330(Arginine and proline metabolism);ko00340(Histidine metabolism);ko00310(Lysine degradation);ko00380(Tryptophan metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00053(Ascorbate and aldarate metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00620(Pyruvate metabolism);ko00071(Fatty acid degradation);ko00561(Glycerolipid metabolism);ko00410(beta-Alanine metabolism);ko00981(Insect hormone biosynthesis);ko00903(Limonene and pinene degradation);ko00625(Chloroalkane and chloroalkene degradation)
ALDH6A1	NA	NA	GO:0004491(methylmalonate-semialdehyde dehydrogenase (acylating) activity)	ko00280(Valine, leucine and isoleucine degradation);ko00562(Inositol phosphate metabolism);ko00640(Propanoate metabolism);ko00410(beta-Alanine metabolism);ko01200(Carbon metabolism)
ALDH7A1	NA	NA	GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)	ko00330(Arginine and proline metabolism);ko00260(Glycine, serine and threonine metabolism);ko00340(Histidine metabolism);ko00300(Lysine biosynthesis);ko00310(Lysine degradation);ko00380(Tryptophan metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00053(Ascorbate and aldarate metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00620(Pyruvate metabolism);ko00071(Fatty acid degradation);ko00561(Glycerolipid metabolism);ko00410(beta-Alanine metabolism);ko01230(Biosynthesis of amino acids)
ALDH9A1	NA	NA	GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)	ko00330(Arginine and proline metabolism);ko00340(Histidine metabolism);ko00310(Lysine degradation);ko00380(Tryptophan metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00053(Ascorbate and aldarate metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00620(Pyruvate metabolism);ko00071(Fatty acid degradation);ko00561(Glycerolipid metabolism);ko00410(beta-Alanine metabolism)
ALDH9A1A	NA	NA	GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)	ko00330(Arginine and proline metabolism);ko00340(Histidine metabolism);ko00310(Lysine degradation);ko00380(Tryptophan metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00053(Ascorbate and aldarate metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00620(Pyruvate metabolism);ko00071(Fatty acid degradation);ko00561(Glycerolipid metabolism);ko00410(beta-Alanine metabolism)
ALDH9A1B	NA	NA	GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)	ko00330(Arginine and proline metabolism);ko00340(Histidine metabolism);ko00310(Lysine degradation);ko00380(Tryptophan metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00053(Ascorbate and aldarate metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00620(Pyruvate metabolism);ko00071(Fatty acid degradation);ko00561(Glycerolipid metabolism);ko00410(beta-Alanine metabolism)
ALDOB	GO:0006096(glycolytic process)	NA	GO:0004332(fructose-bisphosphate aldolase activity)	ko00051(Fructose and mannose metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00030(Pentose phosphate pathway);ko00710(Carbon fixation in photosynthetic organisms);ko00680(Methane metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
ALG11	NA	GO:0016021(integral component of membrane)	GO:0004377(GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity)	ko00510(N-Glycan biosynthesis);ko00513(Various types of N-glycan biosynthesis)
ALG3	GO:0006486(protein glycosylation)	GO:0030176(integral component of endoplasmic reticulum membrane)	GO:0052925(dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity)	ko00510(N-Glycan biosynthesis);ko00513(Various types of N-glycan biosynthesis)
ALG5	NA	GO:0016021(integral component of membrane)	NA	ko00510(N-Glycan biosynthesis)
ALLC	GO:0000256(allantoin catabolic process)	NA	GO:0004037(allantoicase activity)	ko00230(Purine metabolism)
ALN	GO:0000256(allantoin catabolic process)	NA	GO:0004038(allantoinase activity);GO:0050897(cobalt ion binding);GO:0008270(zinc ion binding)	ko00230(Purine metabolism)
ALYREF	NA	NA	GO:0003723(RNA binding)	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
ALYREF-A	NA	NA	GO:0003723(RNA binding)	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
AMFR	NA	GO:0016021(integral component of membrane)	NA	ko04141(Protein processing in endoplasmic reticulum)
AMI	GO:0006957(complement activation, alternative pathway);GO:0007219(Notch signaling pathway)	GO:0005615(extracellular space)	GO:0004252(serine-type endopeptidase activity)	ko04610(Complement and coagulation cascades)
AMT	GO:0006546(glycine catabolic process);GO:0032259(methylation)	GO:0005739(mitochondrion)	GO:0004047(aminomethyltransferase activity);GO:0008483(transaminase activity)	ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00670(One carbon pool by folate);ko01200(Carbon metabolism)
ANGPTL4	GO:0001525(angiogenesis);GO:1902262(apoptotic process involved in blood vessel morphogenesis);GO:0043066(negative regulation of apoptotic process);GO:0009617(response to bacterium)	GO:0005615(extracellular space)	NA	ko03320(PPAR signaling pathway)
ANPEP	NA	GO:0016021(integral component of membrane)	GO:0004177(aminopeptidase activity);GO:0008237(metallopeptidase activity);GO:0008270(zinc ion binding)	ko00480(Glutathione metabolism);ko04614(Renin-angiotensin system);ko04640(Hematopoietic cell lineage)
AP1S3	GO:0006886(intracellular protein transport);GO:0016192(vesicle-mediated transport)	GO:0030117(membrane coat)	NA	ko04142(Lysosome)
AP2M1A	GO:0006897(endocytosis);GO:0006886(intracellular protein transport)	GO:0030131(clathrin adaptor complex);GO:0005905(clathrin-coated pit);GO:0005886(plasma membrane)	GO:0008289(lipid binding)	ko04144(Endocytosis);ko04961(Endocrine and other factor-regulated calcium reabsorption);ko04721(Synaptic vesicle cycle)
AP2S1	GO:0072583(clathrin-dependent endocytosis);GO:0046959(habituation);GO:0006886(intracellular protein transport)	GO:0030122(AP-2 adaptor complex)	GO:0035615(clathrin adaptor activity)	ko04144(Endocytosis);ko04961(Endocrine and other factor-regulated calcium reabsorption);ko04721(Synaptic vesicle cycle)
APEX1	GO:0006281(DNA repair)	GO:0005739(mitochondrion);GO:0005634(nucleus)	GO:0140078(class I DNA-(apurinic or apyrimidinic site) endonuclease activity);GO:0003677(DNA binding);GO:0004519(endonuclease activity);GO:0046872(metal ion binding)	ko03410(Base excision repair)
APH1B	GO:0043085(positive regulation of catalytic activity);GO:0016485(protein processing)	GO:0016021(integral component of membrane)	NA	ko04330(Notch signaling pathway)
APIP	GO:0006915(apoptotic process);GO:0019509(L-methionine salvage from methylthioadenosine);GO:0019284(L-methionine salvage from S-adenosylmethionine)	GO:0005737(cytoplasm)	GO:0046570(methylthioribulose 1-phosphate dehydratase activity);GO:0008270(zinc ion binding)	ko00270(Cysteine and methionine metabolism)
APOA1	GO:0006869(lipid transport);GO:0042157(lipoprotein metabolic process)	GO:0005576(extracellular region)	GO:0008289(lipid binding)	ko04975(Fat digestion and absorption);ko04977(Vitamin digestion and absorption);ko03320(PPAR signaling pathway)
APOB	NA	NA	GO:0005319(lipid transporter activity)	ko04975(Fat digestion and absorption);ko04977(Vitamin digestion and absorption)
APOEB	GO:0006869(lipid transport);GO:0042157(lipoprotein metabolic process)	GO:0005576(extracellular region)	GO:0008289(lipid binding)	ko04975(Fat digestion and absorption);ko04977(Vitamin digestion and absorption)
APP	GO:0007399(nervous system development)	GO:0016021(integral component of membrane)	GO:0008201(heparin binding);GO:0004867(serine-type endopeptidase inhibitor activity);GO:0046914(transition metal ion binding)	ko04726(Serotonergic synapse)
AQP1	GO:0120029(proton export across plasma membrane)	GO:0016021(integral component of membrane)	GO:0008519(ammonium transmembrane transporter activity);GO:0035379(carbon dioxide transmembrane transporter activity);GO:0015250(water channel activity)	ko04976(Bile secretion);ko04924(Renin secretion);ko04964(Proximal tubule bicarbonate reclamation)
AQP7	NA	GO:0016021(integral component of membrane)	GO:0015267(channel activity);GO:0015168(glycerol transmembrane transporter activity);GO:0015204(urea transmembrane transporter activity);GO:0005372(water transmembrane transporter activity)	ko03320(PPAR signaling pathway);ko04923(Regulation of lipolysis in adipocyte)
AQP9	NA	GO:0016021(integral component of membrane)	GO:0015267(channel activity)	ko04976(Bile secretion)
AQPA	GO:0120029(proton export across plasma membrane)	GO:0016021(integral component of membrane)	GO:0008519(ammonium transmembrane transporter activity);GO:0035379(carbon dioxide transmembrane transporter activity);GO:0015250(water channel activity);GO:0015267(channel activity)	ko04976(Bile secretion);ko04924(Renin secretion);ko04964(Proximal tubule bicarbonate reclamation)
AR	NA	GO:0005634(nucleus)	GO:0003700(DNA-binding transcription factor activity);GO:0043565(sequence-specific DNA binding);GO:0003707(steroid hormone receptor activity);GO:0008270(zinc ion binding)	ko04114(Oocyte meiosis)
ARF1	NA	NA	GO:0005525(GTP binding)	ko04144(Endocytosis);ko04072(Phospholipase D signaling pathway)
ARF2	NA	NA	GO:0005525(GTP binding)	ko04144(Endocytosis);ko04072(Phospholipase D signaling pathway)
